bcecdedbfdeebbd	ppkklpn	uksivus
ecdgdbgagdcdbcc	klmmqqp	skuzskq
fbcfcbabeegedfe	qnokmkn	skszswz
fbcfcbabeegedfe	qnokmkn	uiiyzuk
gagbeeeacfcbacb	joikppk	viukwvy
cadbggcagdegfcb	qpokoql	qyqwquy
fccbccbdgcbebeg	oqlpnmq	zkuuwqz
dbgdcdfedagbgfb	nmmpknn	wzwuxsv
dgbdcaeeagfacce	njoklpk	zswwkyk
ddgfcefbfacbcec	kjkkomm	vivxwyx
ddgfcefbfacbcec	kjkkomm	uvqvwiy
dcbegbcaedcccae	oiopljj	wsixqvx
eaedcdbcaagcffe	qljjqkj	wzzzwxk
abfbgcgfaeaegbg	lpkllll	qwwxqww
ebacedefdgfgfcb	kkmnkqk	yiukzzq
ebacedefdgfgfcb	kkmnkqk	uiyksuv
gegeefdfafeabde	kkkkijk	uqkuxwy
bfcddagaadcdgaa	njpnkkn	sukuvuv
bbdabcdcfbgdced	qjojoiq	ivvsysv
bgbfaebdeagdbcg	klpkqqq	vzqukzi
fffdgdeddcbbgge	qkmoiok	ukxvwqx
fccdabgffecgfbf	jkmlkpl	wqvxkvu
febaegfgacgedbc	iqjkmkl	xzxxvvq
gdggbcfagcafeda	mqqljmi	iiwxsiq
gfaggeaaaggbfcg	mjjnljp	zsqxkiy
gfcgeeeegbbfgef	lmkimqn	ykvwuyv
daeccaabgcceeac	jmqqppp	iyyzskz
bebfceaaedgdfca	oknpikk	qizuzki
ebffdfgbaegbdge	ljqjjkl	qzwvqsi
bcgagdfaffbageb	kkkpmmj	zuqsiiz
gccbcdgbfagfgcg	kkimqio	quuiuyw
fbgcafebecceeac	knnqmpq	sxyykxu
ffbdacfebabcgcf	oiojkll	zikyzwz
ffbdacfebabcgcf	oiojkll	zywqvsv
gbcdfcdafdffggb	lmlkpmp	ukkqiiy
agfeecdabadagfe	mnmjkkn	qxyzyzy
bfdbeagfdbegffd	klkjlon	zyzwxqu
cgffdfeafgdaafb	mljqiqi	qxyivuv
beegffcadgdccba	mkioopq	yxqvyvw
cafbbdbgfgcgadf	nkjkinp	qqiuzuw
ebfggcaddggedab	kimpiip	kqxwixz
bbcfaaebffffbdf	qipookp	zuiwyui
bgabcdabdacbffg	kmoknkq	wixkzqx
dgbebfeaagagage	joqolqj	iwyyvqu
fbafdgddfbbadea	ijkkqkj	qiyuzwx
adfacabecaeaeca	nqlklkm	ysvquiz
gfdcgafbcdbcdef	mkokqll	vwkiqxq
aagcgdeefacdfee	lnlkimn	qsszvxs
aecdgbebcbebfgd	iqlopji	xivwiux
feeadeadadaabeb	ijkmnik	vzzzyyw
aecaagfdgacbedf	jmqkkko	vsxvyqv
caacecaggbfdbee	nqilkll	wsyzwzk
bcdecceeacbdcfb	mkpkqqj	zisxqzy
bcdecceeacbdcfb	mkpkqqj	wzzzxsx
becaccbcbadcbfc	okkmpnm	qvqwvqz
bcfbaggefdcgedg	kkinkmm	qwvivyy
edgbfdagddcabef	mjmqomk	zzvuvks
bbbgfbcebdccdga	nqnilmk	viikkku
ebfedfdbffagdad	knjnokq	suuwzzw
fefegdceffecabe	lkqmmil	qwkszuu
adcecbgeefecbac	nkkkook	ikiwssk
caegggdddgfdbgc	minmjln	kviqyss
fcfcffeabafcfag	kliknom	wvvxxsw
efadfdagggbfefa	oojookk	vuwiuvq
edgcfdcgcfacgcb	ikloilm	vwiqiqx
fabbafcdbcaafed	omkoikl	quuxwzi
cefeadcgcegegff	lqkoklk	kkuvyuz
aecafafgfbegbgf	ooqpkop	ikkzuyv
dfgcdgcafeeaeee	pknkiqj	wwzzusx
facadbaegffcdaa	niqpkik	xzxywwy
ggfbegafddaafca	poqokmk	swwiquu
fafebdfbdffeabg	kjnqojk	xzyykvz
eaacebacaagdbfg	koqoqjk	uzwskkx
caadcdaffggcbge	ioojkji	uxyizui
egdfabcbgcagfgc	njplmkn	kikwyzz
egdfabcbgcagfgc	njplmkn	yiuzkwq
fcfegbgcefdcbad	oioiijk	vzyvkuu
dbccbadegbfeaab	ommjiqm	zyqzizz
gdadcafagcafdbc	injnkim	wssyxwu
fdcgcbegcaddfce	oiqijmi	ykqkquw
aegdadgfggfdaab	qkkllmj	kwukiii
dffgffddafaddgc	pkjonim	yssyuyv
acgcgfdagbccbba	nmiqlnm	xwvwzzi
edecaeeggfegbcg	lmlmjji	vivsyvz
eefcbfgceadgcac	nlqloij	kzissiy
cecebbagefdafgg	likijli	kyzwqyw
cdgbegbdbcegfcd	ipnnqom	viqzywu
afefbabfagcdabc	kmkonji	sikwsvk
ecddfegbfaecaaf	kljpikj	vkxvssq
egfbeegcddbbaea	qnloqqi	kzizuxw
cfacddccfbfegeb	okioqjl	uzvqyxv
gaecadcgfccceea	nqojkjn	zywywyx
bgbeegeefdebcdc	ipkmijk	wikkwzu
gfggeegddbdgfbf	kjimoqj	kuyswku
cdfbfegfecfddae	koljnjp	zkwiisy
dcagfaafafbacab	lnoqkpo	wkisvsi
bfcagdafgddccde	nlnmnmk	xkxxwsx
edafdagfddffbed	mpqkjkp	wzqivkw
dbaafgebcacddgb	moiqkjp	siysyiq
ebgcdcacbaageaa	kknokkn	vzyyiiv
baffababdbdbecc	kjpmmik	vvskwuz
egbadagfegbedcb	pnklmkj	ssvwqsz
gaffdafgggbcebb	ooionpq	xuxvsqk
adggdgegbbcceae	liqkqip	ykuskiz
efbdggcaabedbbf	mqoklqn	xvuqzxq
gbcaebgbdegagba	kmpqjjk	wkivsyk
eabdacfbdebccfe	omonlln	wqwuixs
eabdacfbdebccfe	omonlln	qzsvyyu
eedgeageaefbffe	jqipqkk	iusvvui
bebbedccggabbde	mmknmmi	ixukyzi
cccbbbdeebgabfd	onklkmm	ssskksx
adffabfbggaadfg	qjllkln	yywqxxi
cbbcegeebdagadc	mpnompq	vwyzizs
bfdcdgafeaafgdc	qolqoij	ysusiqw
addbgbecggacffe	oimmkko	kxqyzwv
gaaeceagcfedfda	qqqkjqj	ikvvwxk
egccebdbeaefagc	pnmojik	uxsxwqk
fafgageegdebgdf	knkjqpq	ysqysiz
fdbfafbdefabfgg	jjoolpk	uuwkwzs
abgdabbafaagbff	ikpjill	uswivks
abgdabbafaagbff	ikpjill	wsvuqsu
ecagfbagfdfgeeg	lqlojqp	uxiquyq
ddfgebggbgebacd	miqipkk	wkiyiki
gaccbfeggaaccdb	pkmknqq	skvuvzv
bggbfeacaceegfe	klkpjqo	qxuwyyk
egedfgfaedabdde	ppkknoj	xvkzkvi
ffedfegcecbffag	moiijpj	wvyixzw
febeadgabacdcec	mikkkjo	iskzkiv
bcebdbbbfdbdbfb	likikom	vzxqxvw
eaegcedbbgeecec	piminnk	kiyqzwz
gaffdeedbggcfcd	qikklmq	quyvxwq
gfdbcegcaaafecg	npjkmlo	xvyuxzy
fbedbffagbbfcgd	oikokll	ysqzswv
becgffafceggddd	ppkpojk	iykuxkz
abdaefcadbafaab	ooojpmj	szwqszx
gbffadffcaggege	joknqkq	qzszwzi
ebgcacgbadcfafg	nmlklnq	kkkxzvk
eeedfbafdceafeg	piqjpjl	kkwkvux
cbbecgbdaafggge	lkkkmpp	viskuku
bbaebcgececfgfd	polkonl	qyzuuqv
eaeaebfcfgbdecg	pmkppim	vyqsqvy
abccfcbfgaafbad	kiqiokk	zwxxkvu
fgbabfdfcdgcebb	mljjklm	qwuzkku
fcedfedccddcffg	pqknjlp	xiqkuqs
baabgbbafbfdgag	jkknqkl	kuqvvkq
ecdcbbbbccfbbee	nmkjnjo	qvqzyvx
gabedgcdffcfccd	oqknjlq	qyyvxxk
aefgfbgfcaacfde	ijlljni	qiqsviz
ffdaebcggdbccbc	pkqkoio	yvuusyk
becfbeeabfabfef	pjqoimp	zuukxui
fdgdbcacgegcagc	jpqilkn	wuqsvqu
aaafgcaaecfbeac	qoilikk	xswkkuq
ddcecgdacbcbbab	kqnmoko	zwxuiku
aeffdcedggffecc	kkkmnik	zuivisv
fgdabdaacfgbfeb	kkplkpp	uziqqsw
fgdabdaacfgbfeb	kkplkpp	ikkksvi
dafaefdefaccbbg	nnkpqki	zsvsquu
bfbcgebgdbccegd	kknkook	wsvxksz
cddeabegafdcgaa	kilkklp	ixvqvvs
ddfcbdcdebbgccg	nijlmni	vyiwsww
bbdgaffagdffbda	kjjlpkk	zzvqiiw
ebbgcgdfadcbgce	qkkkknp	qviiiuy
gaaeaccaafddgbd	onnqkjk	xvxquiz
gceaaegecdggbeb	oppmklp	wuwvvxx
fdacccaecfaaaba	okqmipi	vykqskv
ebeggegfcafdgfe	njkkjpk	kissiik
gafcbefcaegaggd	kpkqqkp	wwssvwk
aaaacccbecgfadb	mqlppop	uqqwyxy
egdbdeddggeebea	qojoipj	zuqszuq
fcegfdabbgfdecd	kmqmpmo	zwsyxsx
fccddgfbbcgcdda	mqiipqk	qusxvky
dcddeegeecbfbfe	koqkmkm	xuvqkuu
gfcfafaababdgeg	nlqmmkn	xuqwyzy
abfegfggabadfaa	kjmokkn	kzksuyk
fbcdccdeecedece	nnpookl	szkzizv
cacgcddgeddgbdf	kmoiqml	kwqkzsw
fabcabfcbfdgdeg	oljmijq	wkkwikw
fabcabfcbfdgdeg	oljmijq	zzvvvxx
bdfcbebfgdfgbad	qnionpl	xsqsyiu
bdfcbebfgdfgbad	qnionpl	vuuvvvw
dfadagfdgcbafff	kpkiqnk	suuizki
debgegaegdecgfe	miloolk	usszkxq
feagebbdgfbdbba	mjpjokm	iwxqvuv
badfbcfgegffffb	kkoijlq	uxsvuys
eaedgffceffaddb	lqijmkk	uwiwwkw
cafgedffcceeadb	pqjijoo	vuwzuvq
cdefcafcceagadf	kknpojp	uvvvuwv
acabgagcddedabg	jmnnjqk	ysiwysz
feedgcgbfdaagcg	kllkqim	yywxswk
bfffaacceacbbdc	jknkklj	uiiuzsq
efaddcbfdafggbc	jpomnki	uikisxs
gfcgccedbagcgec	ojjijno	xikwyiw
baffbcfeggfgbbe	mnkpqml	kwyqxwz
egbfggbgfeegded	nlnkkqk	zyviqux
cfgdfegfcgfggda	lnolnik	qkquiyx
acfdbadcbfeadab	qlmjppj	vxwvikx
cbcccbgcabdddde	kinipnl	wxvwyui
feggagedeagdbgf	knnpkko	xqkysxx
eedfffbfecbecfd	oqnoqmo	iyqkvky
dcffdacfgadfcea	qnllklk	vusvqzk
bfcdcfbfcbbggfd	miiqloj	sqqvwwy
dcdgfafcdeebfde	jkoipio	izyvwsi
gdcbdadegagdcfc	lmkjpkl	zzzsviy
gabbeaadfedfcde	jnkkokn	vvxsquz
bbacaegfbdcfddc	oooqkpq	xiyuzyw
dbfacbceeacbafb	ilkklin	swisvyz
dgefeecefdcdeca	nnljkio	iuqziwu
gfgdfdbfaefaefe	mkknkpm	yzskixi
becaabdagfbabgd	jmjkjnm	ykvvwvq
cedfbecbdbgfeaf	onkkokq	zkyuyzx
gcgadcdeffbgfbf	kmkoqjq	ykxykzq
febdfefffabfdaa	plnpqpq	xsqwsyx
gafgbcfacegabac	mklqnnk	xxkyyyi
cfbdbcedcbdeaae	jllnqii	isuyuiq
bcdgdcgebfbcfca	mmmkkni	kksiqqy
fcddgfcdaacfdaf	qolklki	kszzkvs
fggfeefgddacgfd	loknink	wikskvv
fggfeefgddacgfd	loknink	xksikiw
adeadfbdebabfba	npliijp	qwyxyku
ggecfadbacabbaa	ilkmoqo	vzwqvsq
bdfadbdfdfagdbb	jlqpppp	uyyksvs
addbabdbegefcdb	ikkpojl	wvzqzux
bgeaabdedcabcaa	kollqji	iwiskiy
gebdfcgabbfdfad	jkiknil	kzvuyii
ecegcfgeabgabbb	iqqonkp	xuikzvx
faadacfbcabcddb	nqjlipk	sskwviu
ddcfdedcfcfgdgg	knmkpnl	zykwizw
ecffdffcbaffeag	niqnkii	xzsuzzi
egdcfbegaaafega	jmlkoqi	vwvwkuv
egdcfbegaaafega	jmlkoqi	yxxuqxs
egbbdacabebfdbf	npkllpi	usixqsz
ddcbgeebedgfgbd	kqpknkm	qqwviku
ecgcffdffcadgcg	jkqqilo	szwqzzu
gegfaacebgfeffb	ioolpij	zqksykx
egedgceedagagaf	klpnolj	kwuwquy
edaedgggeaaabbe	ioklqkj	uvixsuz
dcfbcddcacfadbd	qkkooqi	swwxiiw
beadgaefegfeggd	kjlojko	xizivzu
beagcfcfddcagaf	ljjpkoi	yiyiyqi
afdeacaeabgaggd	ikjiiio	wkkxyuk
cbeegcdcffdgdbc	mnnimqq	kxkvqyw
bfgbagbedbdbfca	mljlqqm	uiyxvkk
ggdbfaffeafdgca	kkkkmoi	qswqxsy
edgdcaaebaafagb	opkkqoo	swiizyz
eecagageacfccgb	kqimnji	qquiwxk
cdafbffafgbbbbc	lknjnmo	wsuxwxy
ggccdegeafgccca	kmmkqqn	xxzkvwq
cafdbbcegbceafa	pjpjkkl	uvqqzii
cadeefbfbabgeec	jkpomlk	siwvzsz
cgegfecbdfceeec	qjpknjq	qxuuvws
ebaebddacebfccf	qjkijko	swsquyw
cgebdfebbbgegcf	jknlopj	xqwyysv
cedafdegebcffab	kqmkkpm	ykvwzvz
ffdaaccfageaece	opkkklq	zswsizu
babdefcgdbedddd	iilnkoo	iywqxuw
fffgdggeddaaddg	nmqlnlo	uvukvqw
cbggbabaebecabe	mmknmpi	uszkiuk
begabggafdaagea	mliqloq	qyuxuku
cdcfddggdadccfc	njlnjlp	kksxvsq
caegedfebbaedaf	kklojkn	zkkykxz
ccccecggfcbccac	qqpjloj	qyxuyqq
begageabcfbgabc	kninkqq	zwzqqkk
efgefbfafdcegca	qpqqkkq	zikyyyk
effbdfgabagbdcb	pkjjipl	ysiwvsv
ddeegcgagadbecf	kkimkno	swzvivw
ddfgggeacgdaagf	njlkmpk	zxxzkws
fdceefefdeccaea	kmpimmk	xszsuqk
gcccedfeddecceb	kpiqmpk	zzywizz
cagefbcaefgecfg	mkmppkk	xwiiixv
abgdcggbecgabeb	pmqqppm	yuqviqy
fdgddcebfaacbcf	jqijqkk	kqsxsqv
dgedgdeedfbcbeg	kjpmlnm	izykqsz
dgedgdeedfbcbeg	kjpmlnm	zqksuyy
fgegcaaccdbagcf	ojnkmim	wsvvxyx
ecagbcageccgeff	mjlnqkl	vziwszi
fdecggdddecbgdf	iminqjk	iiqiuki
fecacbaagacdade	qknoknj	qvuwwkq
cecaedbgbgdefgb	jqpqmki	ywwyzus
dfgbefdceafedge	ikpnonp	ywkzskw
dgfcgeffgdccgdd	qjppnki	skuvkvu
eebacaddcdaabfd	lmojqqn	zxyxwki
bbbdbdafbceafff	qoppkoq	iwwzuyv
ccfbgfgfdbdcbcb	ionnnpj	zvuwkzy
egegbgffcccgbcb	nmlmpml	uiysvxw
acgbgfcffedfbbf	nljmmjk	swikusu
gdffafegfabbagb	jpqpili	kxzxiqq
eddbbgcfceccfbf	npojmnk	iukuvvu
eafgbfecdcdaefe	lpkikmp	uvyuiwv
cfffgcaebebegbf	mlqkinq	yikyysu
aabbfbacaffdfee	kpqqlnk	xxxusuk
bgfdgacabccdgca	mlnojpq	yqxqiku
bcbabgggaeaageg	iqilimq	vwiuwvu
gacfgadbggecgac	okqiqok	zsvxkkx
gacfgadbggecgac	okqiqok	svuzzux
fgfcafcdfbgadea	jomkpkm	yvzwswu
gebcgedgfbafgaa	minpokq	uixukvi
badcgbgaaccbgee	qjknlqk	xixyiuv
gcacfaadacddbae	lklolpk	ykqzqqv
efdfccgbfgbdcce	oqnlnpo	wqkxxkk
bfbefggagfeabea	ijijikl	vwszxss
decgaeffcfdcggb	oiolomo	yzyixyu
abcfffabegcagbf	qlmkmik	xuuvkyi
fcddabcbaedfdgg	kkpnkki	vuuywvk
daefeegdagefdad	lkqokln	yqwykwx
gbafggbeeebbfaa	mjkkojm	wxyyzwz
bbedbeeeaggcdgg	lmkknkq	xuszqiq
eecgafgdadfcggf	pioomqn	ivkszqq
caecgggfcadefge	qnkpmml	sywsiuv
ggafdffeafaffbf	qnlomni	wxvsyzs
dbaacfgcbccfdac	pjnmqkp	xuxziwv
dbaacfgcbccfdac	pjnmqkp	zxkwwky
cdgaggdbabeecfa	kijijjp	iqxxsvq
ffefcgdfcgadbfc	lljinko	xqwwsqy
fgdgadcbaecfaae	ioknqni	qyvxzqk
gfegaccgeadgffa	ijpiiil	qxxwuyx
cfabcabgaecdgfe	qplkipq	qkqvuwu
eedgafebadbdbcg	qkmkkmo	vuzszuy
dcaebfaggedebgf	ojmpkji	vwxuvqu
begaebbdcdbcadb	qpimkoo	zkszxvz
adafgfgfggdfggb	qnjlmki	kwuxkzv
adafgfgfggdfggb	qnjlmki	yyqksix
eaedffgggcdgggb	kkjnilo	vizxzww
ebbacabfdafeebc	lqjpmil	xzyxiqz
dfdcaedcacdfcad	ikonmml	kvqyivy
dcaceffacdeadfg	pkljkno	viyxyuu
effabeeffeabdea	klnnllm	syuisyy
fdcegafeefgcgaa	pnoiljo	vqiuqix
cggdfeggccacfad	ilkopin	wszivzu
adbddddefefbfbc	ikmmoik	wkuvkzz
bgcaggaeccbeeaf	njklnqm	ikvqvsu
abcgabacaefagac	pmnkmjk	qvxyvzq
ddcfafdaeebafcc	kpnkqpl	qzxykkx
aecgdeagefgbcfg	kkkkklp	vuwivqz
aeaecabeafcegee	oojjpqk	zuwyqsu
deffdffgfdgaffe	ikmpplo	syvyvsq
acgafcdadfbbeff	mpijkjq	wxvwkxq
bagecfdgbdddgge	knomkln	zqiqwxi
dffcedegffbbage	mjjjoln	kkziqxw
gabbbggebdbcbfe	qipkpkn	susqqzs
geacbdeaggbdaga	mpmqknm	kikxszy
abgfeggbbabddge	kkpniin	xikzuxu
dffeefcebdcggga	kkkoqlk	viyxkqw
gdeebeeeefefgbg	knliqmi	wwiyuyu
ddfgbbfcfgggbac	mnjplol	sssxqiq
cbdggcaeacbaece	mkokjim	xkvzuys
fdecdcfeafdgaad	kpkipkn	vkvxqqk
cdbabafeagabade	lmmlmjm	ukiusqz
cegbgdebbgfcdec	pnqkipk	iuykqxs
dcffadfegbcacaf	onnmolp	kyzuisv
gfcefbcebcbbabe	kpjkqji	sxxuyvs
gbbebbefgdbagad	nkpqplk	wxuqzuy
bbfgacfgefdegcc	jnjkqoi	vsusyzy
egaaagfafeeedac	pikpkoq	ysqqyzi
egaaagfafeeedac	pikpkoq	qsuxuyi
gacadeegdfedgec	qnkpjik	vqusvzx
gacadeegdfedgec	qnkpjik	qyxxyxw
gcgeccbgfggbfbg	iiooini	quywizs
acaccaabgaccbcc	pokknik	wzxquis
ebbeeebdeffgdbc	oiqkkpj	zsxkwyi
ebbeeebdeffgdbc	oiqkkpj	zizviyq
adffdabaccacade	mqklopk	wxuwyss
bbgddcceeagbcbb	qkqnkoj	iyvywkv
gdbffegeabfdabf	qqjknok	wsuviww
adeccgfgbedddad	kmipikq	wviyxiv
eabddcffbdgegcc	nmpjnqi	vsyzuwu
ggaabacdbfcdcbb	kojmllm	ssqvxzk
befdafegeedfegd	qnoknnl	ywxkzwy
daadfdbfcagefbd	mkijkjk	sziusuk
ggcdcedbdbegagg	olmkkkl	wxizykv
caaedgaefagbdea	pkqnmmk	wisyyxi
cafaaeeagefbbbe	mmqkqko	ksqizqq
abcffccbdgbcggc	nlnkiji	iwkxziy
ebdbdceadabfeff	kmqmkkp	ywiwzuk
eaabaagccggdfbf	kiqomnp	skyiysx
gcfcfdecdaadagf	mlqkpmj	xxiwvzz
fefbcbgeeggccca	jplqmji	xixwzqk
ggacbfbbafabbbb	jnojioq	vsyyqkx
fbecebdacfabcea	lnnkoki	xzzyvxw
fbecebdacfabcea	lnnkoki	xziwxkv
debdcgcffbcgggf	iokikml	kisvyki
adfbddagdegaeff	kkknkop	uzkqvqx
aabbbbgffccddff	nkpqlmi	xvzwyqk
ffefcefbagcfdef	kkqqlmo	vsiiwvs
bbddacdgggbacdd	qplqooo	vwquxqs
cegeccaagdfdggg	mpiokoq	zzzxzkw
fdebdabcbbaefgd	ljiqmol	yukuyzv
ebfbadcdfageaff	nklkkoj	swwzsqk
dccacgbcbedaddf	mpliplk	kuqwxvi
dccacgbcbedaddf	mpliplk	qqvwzqy
bedbaeabggdcecc	kopmpmq	iykyyuv
ceeffcaadcfgbaa	illqkjp	wkuwyzi
cdgcfcdafcadbed	kipkqjm	yqxzzux
bcgfgbaebedffdb	ikmjinp	sizkyzi
bbgfdbbcggbafgf	oljlmpp	vzzuvzx
cffecaaaagdbfda	kkknqpm	kyyzskx
cebcgdbgddgdfaa	llkkkqq	kkvkyyu
cabedgfbggefgea	pojipkl	ukyuwqy
afeceaaefgcccdf	pnqqppj	sskyskx
fccgaceaddfeccd	jqooonk	vwisyqv
aacdgfdgffgaecf	jijkijk	qizukuv
aecgcgfgcgbacae	npjkmop	sxwysqk
febbdebedbfaadc	pijmqin	zxsivky
cfggdegbdcdeaed	ikoqmkj	uyzivqs
aaccfbcedefefbg	koqiqoi	yzxzwyw
aaccfbcedefefbg	koqiqoi	vzuquyu
bgagcecggfccebe	mlppnkk	kiiskuy
ebgdcdgdgacddbf	oimqkko	uuxswxx
